id,temperature,irradiance,humidity,panel_age,maintenance_count,soiling_ratio,voltage,current,module_temperature,cloud_coverage,wind_speed,pressure,string_id,error_code,installation_type,efficiency,error_code_E00,error_code_E01,error_code_E02,error_code_nan,installation_type_encoded,power,area
1,24.785727405911366,240.0039734398761,1.3596482765960705,19.977459933854867,8.0,0.4794558186318908,21.843315463950287,0.2414732915063966,27.54509609843316,43.85123829789105,12.012043660984917,1025.6238537572883,D4,E00,dual-axis,0.3964473900264667,1.0,0.0,0.0,0.0,0.0,2.0910923971371034,0.021977041491831772
4,5.575373704368611,12.241202836540898,27.495073003585222,30.722696767333296,6.0,0.5518327211912564,0.0,0.8980620809981434,6.78626273203581,3.632000026494353,0.52268384077164,1008.5559577591928,B2,E00,fixed,0.3418737229225652,1.0,0.0,0.0,0.0,1.0,0.0,0.0
5,16.545541165800103,174.45512328442047,86.11683466061814,29.85320214348427,5.0,0.9628801361194615,5.35632031155173,2.8780675674045004,19.39229988488013,11.170873901761258,8.541404095869012,1006.9578804993316,C3,E00,tracking,0.3761270807095945,1.0,0.0,0.0,0.0,2.0,5.79831932264128,0.08836571537182078
6,18.728064325072385,531.9601007918213,91.25225388383434,20.67209903640191,4.0,0.9118211253903364,0.7063475839090447,2.131410847830839,26.52180824319249,31.73636054611228,3.5938300615145584,1016.005079613218,A1,E00,fixed,0.5371956997319551,1.0,0.0,0.0,0.0,1.0,0.808757205994995,0.002830131245636437
7,52.06064300225122,420.93935191410446,22.07266455497695,4.1063204411905465,3.0,0.5286939541921345,13.228523185840029,3.2992359500364907,58.88480029823055,59.13587927199278,8.321732514520054,1030.4971803983756,C3,E01,dual-axis,0.4668498195546484,0.0,1.0,0.0,0.0,0.0,20.375202516457556,0.10368244038519005
9,37.89596903468966,286.739018106605,8.023472097107298,34.621776730698215,9.0,0.8357601914420443,1.6709134239359529,0.351423376165687,49.29745395232999,34.358445845740945,4.676583637669918,1001.3287852158608,C3,E02,tracking,0.3797708453348297,0.0,0.0,1.0,0.0,2.0,0.22300069478416007,0.0020478483904894642
11,10.440271377563477,694.4479838572371,30.66634660488211,25.11585157113744,4.0,0.9982143957515556,0.6329359265451124,2.451902575582955,12.241706004714654,75.9990721770013,3.074768628384619,1023.063529321254,C3,E02,dual-axis,0.727633085564068,0.0,0.0,1.0,0.0,0.0,1.1292117688335501,0.002234720619181725
13,17.642899005763585,781.8103017420082,55.58948093861916,6.504700849047299,2.0,0.8840459169818912,30.25430588031417,0.5366143525595393,21.313125060735267,88.72194587864546,6.49510555619396,1024.1456061422327,B2,E01,dual-axis,0.7185858494891629,0.0,1.0,0.0,0.0,0.0,11.666165643992981,0.02076577236949795
14,52.80247866124107,616.8773355630115,12.861795388654674,14.98057615999022,4.0,0.7337016161976726,56.01122077745061,0.7638113174280392,58.3680475115092,54.48318962849539,5.342677280322532,1003.312996280865,B2,E01,dual-axis,0.5713421856915933,0.0,1.0,0.0,0.0,0.0,24.443163863756205,0.06935253066759381
15,28.091359120591967,285.17688427919046,35.315849832556744,8.186544424573466,5.0,0.6198386978681509,0.0,1.2707458636708395,37.57183274893369,32.11317857733437,9.026553587859924,999.4452661878584,C3,E01,fixed,0.3956160914945159,0.0,1.0,0.0,0.0,1.0,0.0,0.0
16,37.65248751682882,592.1876960206247,86.32723652392605,11.74367345903412,2.0,0.4325633554195799,11.511424906474613,1.0406187481472622,38.6741780343768,79.8080072324238,7.655891824713746,1014.5575420924469,C3,E01,fixed,0.4673193940400645,0.0,1.0,0.0,0.0,1.0,5.5980211594570495,0.020228391532048348
17,7.981089259682578,260.2793497927503,67.9668427626373,28.37971298720443,3.0,0.5863100480273052,0.0,1.6421885312873057,12.837496693038624,19.065492202896937,5.8707096801814975,1012.5666174387442,D4,E00,tracking,0.4177083450507388,1.0,0.0,0.0,0.0,2.0,0.0,0.0
18,21.09733701304705,719.6125753268182,80.57620149153618,6.007738682626147,6.0,0.91703552425659,0.0,3.0506504482398342,28.60922435523985,86.28773725198299,1.282640429107621,1012.004091332916,B2,E02,fixed,0.6831759077962669,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20,11.90599649815602,453.7844091136849,56.20404950992665,8.934336728016076,7.0,0.4943967207372299,0.0,0.5440786155919142,20.266915892720323,52.8099429105901,13.13008481401378,1008.0663507006768,B2,E01,fixed,0.4440484444727947,0.0,1.0,0.0,0.0,1.0,0.0,0.0
21,24.23239130400608,329.76761389901463,29.310231088231745,31.988767525806185,3.0,0.9053372357780064,33.40596465221632,0.6254540186497821,26.43809090458374,57.62755256534676,0.7772103615965648,1004.802283443634,C3,E02,tracking,0.4574192041082717,0.0,0.0,1.0,0.0,2.0,9.557268747794916,0.06335945058873987
23,34.91721260704684,461.3676294827995,60.88613197764313,16.0761245300892,6.0,0.5938234040104595,25.229267788177893,0.3907372221893397,40.73769609885946,87.12823310999468,9.196479438626795,1021.4074573669116,A1,E01,dual-axis,0.5363605756824481,0.0,1.0,0.0,0.0,0.0,5.287450071325532,0.02136693903834261
24,29.7821985495268,392.9180444592232,38.07167441833237,32.582559862204704,4.0,0.7190194807885579,0.0,0.7961116307428807,35.229958029790495,6.278272963132958,0.7985304351521505,1008.7504815771696,A1,E01,tracking,0.5355628941886699,0.0,1.0,0.0,0.0,2.0,0.0,0.0
25,33.20062502481361,411.9666123779426,52.917061722014665,30.125551722811625,3.0,0.7881164476112597,19.297520714109474,2.244740383559054,33.8859957863818,43.302917251185946,7.767053830591635,1014.7401210245108,A1,E00,tracking,0.4453078026470518,1.0,0.0,0.0,0.0,2.0,19.289809573727588,0.10514911341841596
26,35.45290042960723,633.0772963883372,58.815836732944646,23.049703088366623,3.0,0.7300203922707353,6.980621821220938,2.515438998219832,43.59451256003459,74.07487386226505,3.057213710148756,1006.4182950874194,D4,E02,dual-axis,0.5611490294013026,0.0,0.0,1.0,0.0,0.0,9.853400066670986,0.027736468297154652
